"Confirmed","Date","Type","Label","Address","Amount (RVN)","Asset","ID"
"true","2018-11-21T02:20:36","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.62066729","RVN","3bf90126f6c85ed38e03f300fe3464eebaeb048e88438833ea5669b144f14c8b"
"true","2018-11-19T02:10:42","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.68298558","RVN","b0a897681c185653df6e92792a729e59109d5ac17fdd0b6a8f82f9e4d3ee1ae1"
"true","2018-11-17T23:02:17","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.53578489","RVN","f02343f893a3715d7087ddba93c891002c19354bb567a18cfc0e2fac975c0715"
"true","2018-11-17T02:01:01","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.45829093","RVN","7a90c86ea4390ddfae36b92ce4f7d80c453bde08a3bc16b84b146a0273848362"
"true","2018-11-16T16:54:59","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.88747207","RVN","40e58b32c9006e2bb706941029c4452a282c31eb3c1fb0e2cf9e5d99f5ed069d"
"true","2018-11-15T01:45:28","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.40527269","RVN","764eb2bafdcd306728b2c5b2b5e9b31cde4e895d10a9388b94c9e11d068decb5"
"true","2018-11-13T01:36:04","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","7.81494125","RVN","5cde987cad690f832304ed73652671f638c95ad5126fea02c4c2c47212e370fc"
"true","2018-11-12T13:25:39","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.83646157","RVN","4f115a8bce9e72024e27479334648aa004dd8cabeab083306c7ca357f5c530c4"
"true","2018-11-11T04:17:17","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.42095383","RVN","be18ae1805a61956cd914b9bf49fb2dd698a8b2aa6af891ef36fb86dea87ef31"
"true","2018-11-10T16:17:00","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.65934658","RVN","50a8aa4e1ba2c2fce10c788d68b590601c50dfb577e672e8814d4dbea2526a50"
"true","2018-11-08T03:57:11","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.52102594","RVN","bae48f5e95db831914e76bd742782d7d41a9feb742f096633ff404cc42c068d4"
"true","2018-11-05T03:36:27","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.35791098","RVN","fe59c2545b415aade67dbda96d520485433ceeae4ace6d6e3ecf97ccaff054f9"
"true","2018-11-04T09:34:20","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.20768445","RVN","808f2fd52f92f1d6ec1615e00a574b3ee225b5c5f0eadd1a5e1b7ccd89d0d636"
"true","2018-11-03T16:25:04","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","7.15614195","RVN","2efe0f732cd53067dc074493b26625f94799a2cd01e8f92c2f28733638dd9f40"
"true","2018-11-01T01:11:13","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","7.86662356","RVN","01dcd95c08f1b79e70a33e772e78b82f55ed79df8aeec25cc14519a0842d309e"
"true","2018-10-29T06:52:55","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","7.65833140","RVN","37a379fbb733195a4ee13596b8422444a473b00e0e2b692101509a02e2571955"
"true","2018-10-28T09:48:34","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.37473832","RVN","8127918049f7f1f3c178aa4ba1485c840c2a669d1dbc2c3592eeb881504b42a2"
"true","2018-10-27T09:40:14","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.33965627","RVN","fdf8cb513837e36f950daa281eb8a99f9dd8bc1a0cbe583904e834ccd02dedfc"
